Company;Revenue;;;Growth rate;;;EBIT;;;EBIT margin;;;P/B;;;ROE %;;;ROI %;;;Adjusted P/E;;;Adjusted EPS;;;Dividend;;;Dividend yield;;;EV/EBITDA;;;EV/EBIT;;;EV/S;;
;2017;2018;2019;2017;2018;2019;2017;2018;2019;2017;2018;2019;2017;2018;2019;2017;2018;2019;2017;2018;2019;2017;2018;2019;2017;2018;2019;2017;2018;2019;2017;2018;2019;2017;2018;2019;2017;2018;2019;2017;2018;2019
Revenio Group;26,8;30,7;50,1;14,30 %;14,60 %;63,60 %;8,1;10,2;12;30,30 %;33,30 %;23,90 %;53,9;16,6;11;43,00 %;47,80 %;23,50 %;50,60 %;58,80 %;21,50 %;120,6;36,9;51,5;0,3;0,34;0,5;0,26;0,28;0,34;0,70 %;2,20 %;1,30 %;83,7;27,1;49,7;105,3;28,5;58;31,9;9,5;13,9
Tikkurila;582,4;561,5;563,9;1,80 %;-3,60 %;0,40 %;19,3;26,5;44,7;3,30 %;4,70 %;7,90 %;4,4;3,5;3,7;5,50 %;8,80 %;21,40 %;6,80 %;9,60 %;16,90 %;39;19,7;17,1;0,46;0,61;0,83;0,8;0,33;0,6;4,50 %;2,70 %;4,20 %;22;12,8;9,9;45,3;23,2;15,2;1,5;1,1;1,2
Oriola;1 527,70;1 552,20;1 720,30;-3,80 %;1,60 %;10,80 %;37,8;22;20,2;2,50 %;1,40 %;1,20 %;2,6;2;2,1;12,90 %;6,70 %;6,80 %;11,40 %;6,90 %;6,50 %;18,1;13;19,8;0,15;0,15;0,11;0,09;0,09;0,09;3,20 %;4,50 %;4,30 %;9,6;7,6;7;16,4;19,2;21,7;0,4;0,3;0,3
Orion;1 033,60;977,5;1 041,50;-3,70 %;-5,40 %;6,50 %;284,1;252,8;257,2;27,50 %;25,90 %;24,70 %;6,4;5,5;7,7;33,20 %;27,20 %;26,20 %;33,10 %;27,40 %;27,00 %;19,9;21,6;29,3;1,56;1,4;1,43;1,45;1,5;1,4;4,70 %;5,00 %;3,30 %;13,6;14;18,7;15,7;16,3;22,6;4,3;4,2;5,6
Cramo;729,5;631,9;622,5;2,40 %;-13,40 %;-1,50 %;117,3;90,1;66,7;16,10 %;14,30 %;10,70 %;1,6;1,6;1,5;15,60 %;12,70 %;10,00 %;12,60 %;10,10 %;8,10 %;10,5;10,7;13;1,88;1,4;1,02;0,85;0,9;0,6;4,30 %;6,00 %;4,50 %;5,4;5,1;4,8;10,8;12,1;14,4;1,7;1,7;1,5
Stora Enso;10 045,00;10 486,00;9 973,30;2,50 %;4,40 %;-4,90 %;904;1 390,00;769,9;9,00 %;13,30 %;7,70 %;1,7;1,2;1,4;10,60 %;15,90 %;6,60 %;9,70 %;14,50 %;7,30 %;14,8;7,8;15,4;0,89;1,29;0,78;0,41;0,5;0,5;3,10 %;5,00 %;4,20 %;9;5,4;9,7;14,2;7,3;16,5;1,3;1;1,3
Neste;13 216,60;14 918,00;15 461,00;13,10 %;12,90 %;3,60 %;1 170,60;1 024,80;1 907,50;8,90 %;6,90 %;12,30 %;3,2;3,7;4,6;22,60 %;17,40 %;29,40 %;21,80 %;18,20 %;30,40 %;16,1;15;17,3;1,11;1,49;1,94;0,57;0,76;0,9;3,20 %;3,40 %;2,70 %;9,1;10,5;10,5;12;16,8;13,2;1,1;1,2;1,6
UPM;10 010,00;10 483,00;10 323,90;2,00 %;4,70 %;-1,50 %;1 259,00;1 895,00;1 318,70;12,60 %;18,10 %;12,80 %;1,6;1,2;1,5;11,50 %;16,20 %;10,40 %;12,30 %;18,60 %;12,20 %;13,8;10;14,5;1,88;2,22;2,02;1,15;1,3;1,45;4,40 %;5,90 %;5,00 %;8,3;5,1;8,6;11,3;6,2;11,8;1,4;1,1;1,5
Kemira;2 486,00;2 592,80;2 667,20;5,20 %;4,30 %;2,90 %;141,4;148,2;227,9;5,70 %;5,70 %;8,50 %;1,5;1,3;1,6;6,80 %;7,60 %;11,40 %;7,10 %;7,30 %;10,70 %;16,6;13,1;13,9;0,69;0,75;0,97;0,53;0,53;0,56;4,60 %;5,40 %;4,20 %;8,8;7,1;6,9;17,5;15,1;12,5;1;0,9;1,1
Valmet;3 058,00;3 325,00;3 522,40;4,50 %;8,70 %;5,90 %;170;211;270;5,60 %;6,30 %;7,70 %;2,7;2,8;3,1;13,50 %;16,40 %;19,40 %;14,70 %;18,60 %;22,50 %;19;16,7;16,5;0,87;1,07;1,32;0,55;0,65;0,75;3,30 %;3,60 %;3,50 %;9,5;8,8;8,5;14;11,9;11,8;0,8;0,8;0,9
Outokumpu;6 362,90;6 871,90;6 446,20;11,80 %;8,00 %;-6,20 %;445,2;279,6;62,8;7,00 %;4,10 %;1,00 %;1,2;0,5;0,4;15,20 %;4,80 %;-0,90 %;11,70 %;7,10 %;1,60 %;8,7;10,1;-17,9;0,88;0,32;-0,16;0,25;0,15;0,05;3,20 %;4,70 %;1,80 %;6,4;5,1;8,7;9,6;9,1;40,4;0,7;0,4;0,4
YIT;3 862,50;3 201,00;3 352,50;14,00 %;-17,10 %;4,70 %;77,4;104,8;95,4;2,00 %;3,30 %;2,80 %;1,2;1;1,3;3,10 %;4,50 %;2,30 %;5,00 %;5,40 %;4,70 %;18,1;15,9;14,7;0,35;0,32;0,43;0,25;0,27;0,3;3,90 %;5,30 %;4,70 %;15;12,7;14,6;26,5;16,2;23,6;0,5;0,5;0,7
